replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
999281,0.011757569,0.011754014,0,0,0.1631229,-0.00064764766,0.002708667,0.008394634,-0.0081668,-0.001859948,0.0032484098,0.007769674,-0.010914372,0.00878942,0.1079483,1.0,-0.0074586086,0.21312292,0.049976453,0.3444677,0.09736063,3.4106236,1.1380075,8.149656,0.5578136,8.360915,4.3347144,27.646807,0.60492384,1.0010005235671997,0,0,4900,7,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2144765,0.6578145,0.99948055,-0.99945074,7,0.0,13.249240834033117,0.009818996069952846,0.0407226289389655,28.71764125896152,42.017423718003556,53.02934500493575,0
999281,0.00344458,0.0032496708,0,0,0.33222428,0.03494423,0.07467348,0.45673272,0.002170875,0.03576585,0.075628005,0.46206376,0.0014483521,0.034642566,0.101496786,1.0,0.0002858221,0.15795508,0.050894648,0.42234442,0.057670325,0.78947574,0.5923561,3.6021714,0.03176977,2.0462327,1.2363894,11.090614,0.17134394,3.0815439224243164,0,0,9800,14,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0059583704,0.4408884,0.9552165,-0.95659184,7,0.0,12.739856178988703,0.00980786606669426,0.03634206403512508,28.246893955976702,41.032900065067224,94.06484553299379,1
999281,0.0033103507,0.003087779,0,0,1.4518161,0.06250755,0.13655451,0.7872296,-0.0007915925,0.060177818,0.1341394,0.7622279,-0.0008792677,0.058155607,0.14910059,1.0,-0.0002461501,0.14161909,0.056411587,0.40951696,0.04597031,0.68583906,0.5876775,5.363144,0.010765264,1.7193485,1.3221047,13.43652,0.060992472,15.875255584716797,0,0,14700,21,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19635496,0.5242902,0.9898777,-0.98959947,7,0.0,12.633650150033645,0.009906579041853547,0.03542952600400895,28.351523629040457,41.030509884119965,135.0977844921872,2
999281,0.0024211928,0.0022980988,0,0,9.237439,0.079561666,0.18066186,0.99285847,-0.00153533,0.07719325,0.17715909,0.9959567,-0.0014344035,0.07832788,0.18231374,1.0,-0.00089841214,0.12687676,0.055060714,0.4142715,0.037222262,0.5486538,0.5142566,3.576193,0.0025873394,1.4405508,1.2476277,12.111971,0.048855133,120.41378784179688,0,0,19600,28,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10295053,0.502917,0.9951809,-0.9908155,7,0.0,14.039947043987922,0.010371611919254065,0.03320946893654764,29.12590258696582,43.209430711809546,178.30958217498846,3
999281,0.0014341266,0.0018648214,0,0,82.85469,0.10376815,0.21042049,0.8438008,-0.0049438756,0.10362212,0.21120974,0.86154276,-0.0031121299,0.09820779,0.20534341,0.8795862,-0.0016551467,0.12902954,0.059892427,0.45853046,0.025344545,0.5470542,0.53334653,4.00572,0.0022892235,1.4958696,1.3788334,13.010438,0.042223282,1050.7772216796875,0,0,24500,35,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16558538,0.5985852,0.9991055,-0.9963782,7,0.0,14.51652416808065,0.009655929054133594,0.03312532394193113,28.58607772400137,43.145383145078085,221.45702210103627,4
999281,0.0022011134,0.0019580503,0,0,767.86707,0.11313078,0.22244969,0.93223906,-0.0072137825,0.11247651,0.22319554,0.9638429,-0.008903038,0.11017218,0.22817396,1.0,-0.0027116723,0.12724096,0.055577517,0.448758,0.043096717,0.51011014,0.503911,3.6109784,0.004871664,1.4002061,1.2331852,13.526715,0.06395218,9963.951171875,0,0,29400,42,700.0,0.0,700,700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18662986,0.6101129,0.9980687,-0.9978707,7,0.0,14.438416703022085,0.009493696969002485,0.03400948608759791,29.557471000007354,44.03939088608604,265.49881754396483,5
999281,0.0025083446,0.0023045628,0,0,1597.9728,0.11515399,0.22797044,0.99305266,-0.019322876,0.120078824,0.23505639,0.96646726,-0.013510111,0.11525676,0.23439,1.0,-0.0051481486,0.12254785,0.043799244,0.3807353,0.046704795,0.45941508,0.4504378,3.4651465,0.002178062,1.2506646,0.9163218,9.123108,0.07969433,22026.466796875,0,0,33774,49,624.8571428571429,184.06165781485024,700,174,0.00022862368541380886,0.015118578525254174,1.0,0.0,0.14285714285714285,0.34992710611188266,1.0,0.0,0.072495334,0.6091304,0.9991039,-0.99754834,7,0.14285714285714285,14.337676552007906,0.008750939043238759,0.03338888403959572,29.206444735988043,43.586261111078784,309.08744686003774,6
999281,0.0015931665,0.0016246287,0,0,1533.1289,0.121012524,0.2316817,1.0413102,-0.007003377,0.12232329,0.23491079,1.0000205,-0.0073966756,0.12019269,0.23019561,1.0,-0.004443991,0.11960395,0.05185818,0.4264161,0.03492899,0.44456285,0.4540627,3.4177716,0.0023575646,1.2336438,1.0558286,11.499899,0.054785162,22026.466796875,0,0,38209,56,633.5714285714286,162.71610434202543,700,235,0.00022547914317925591,0.015014269956786012,1.0,0.0,0.14285714285714285,0.34992710611188266,1.0,0.0,0.11916673,0.6489751,0.9993479,-0.9979046,7,0.14285714285714285,14.204440283006988,0.008524087024852633,0.03513739805202931,29.459065183997154,43.707166952081025,352.79756212816574,7
999281,0.0019912468,0.0020534066,0,0,1515.2974,0.099363565,0.19030966,0.9547793,-0.0042364374,0.09656784,0.18702492,0.9123649,-0.011348434,0.09527699,0.19093467,1.0,-0.009163925,0.11879438,0.04954231,0.31791165,0.031057507,0.41083264,0.42381084,3.6015759,0.0018668161,1.214354,0.9865551,7.6739187,0.057866313,22026.466796875,0,0,42616,63,629.5714285714286,172.51406331315812,700,207,0.0002269117313365101,0.01506188044045935,1.0,0.0,0.14285714285714285,0.3499271061118826,1.0,0.0,0.18935917,0.65749186,0.9991714,-0.9982624,7,0.14285714285714285,13.757208746974356,0.007707012933678925,0.03150842897593975,29.52151479094755,43.317938979831524,396.11782980384305,8
999281,0.0018151312,0.0018702497,0,0,1712.081,0.13315804,0.22290955,1.0011448,-0.010209575,0.13124546,0.21984081,0.9592429,-0.00717601,0.1281151,0.22000179,1.0038023,-0.0059282025,0.12772834,0.05720591,0.3162454,0.026372587,0.48120776,0.52030206,4.8159623,0.0013570301,1.3538845,1.1835482,9.940315,0.05006408,22026.466796875,0,0,47393,72,530.7777777777778,239.35458484004567,700,182,0.0006280092108017584,0.025052241720710477,1.0,0.0,0.3333333333333333,0.4714045207910317,1.0,0.0,0.14212766,0.7451054,0.99844384,-0.9984825,9,0.3333333333333333,13.50431495893281,0.009167553042061627,0.03312441299203783,29.643627078970894,43.1902340039378,439.31022294878494,9
