replay_buffer/size,trainer/tdrp Loss,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
1998000,[13188.821],0.023358865,0.022952357,0,0,0.08657199,-0.001442243,0.0018453617,0.0024176147,-0.0048123496,0.008523103,0.0013483554,0.011541791,0.005451258,0.020655274,0.15122512,0.9973742,-0.005630095,0.13657197,0.057333287,0.3209097,0.020201478,1.2098835,0.9311959,3.97126,0.0007938982,2.5738065,2.4616368,18.158592,0.0046212035,1.0010005235671997,0,0,4800,8,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7918805,0.35506156,0.99684083,-0.9997011,8,0.0,8.430708681000397,0.00937503797467798,0.04400580597575754,28.17762681201566,36.66171633696649,51.266948729986325,0
1998000,[13147.095],0.006831603,0.006632151,0,0,-0.0017162855,0.06240318,0.49770364,3.193006,-0.18795173,0.059483774,0.5018,3.2439337,-0.19346662,0.03243457,0.50065726,3.2307808,-0.21498276,0.048457682,0.025262952,0.13076797,0.0048261927,0.30350852,0.17931432,0.9383781,0.00057086995,0.43356478,0.29428536,1.7682799,0.00061937503,1.1128572225570679,0,0,9600,16,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028387597,0.18574838,0.47159943,-0.5685784,8,0.0,8.336964863934554,0.00918472302146256,0.03587890602648258,28.093298064079136,36.475326557061635,87.74467964703217,1
1998000,[13126.604],0.0046267807,0.0055650426,0,0,0.005985492,0.044884313,0.9417938,7.878048,-0.2964795,0.03471175,0.92886406,7.815651,-0.30184627,0.054519087,0.95296174,7.9048157,-0.29385564,0.054561302,0.027609194,0.1424478,0.0050789304,0.32635877,0.20936677,1.0858035,0.00018889274,0.47169068,0.3212973,1.9008956,0.0002617946,1.3128843307495117,0,0,14400,24,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009899982,0.13186616,0.522226,-0.6187773,8,0.0,8.147779493010603,0.01433025998994708,0.05301138001959771,26.918167366064154,35.1332884990843,122.88022574712522,2
1998000,[13070.558],0.0019200867,0.00287878,0,0,0.020224672,0.27614453,1.9726238,13.0700865,-0.33274084,0.2690935,1.954583,13.020494,-0.33184192,0.29501843,1.9839277,13.169692,-0.30309394,0.054231096,0.030143782,0.14740328,0.0049240035,0.3087636,0.2145693,1.3734086,4.9949078e-05,0.46995106,0.38738772,2.225007,9.5697775e-05,4.789231777191162,0,0,19200,32,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013907054,0.16029379,0.6147673,-0.49883187,8,0.0,7.202946334029548,0.009367292979732156,0.035253330948762596,27.022733742021956,34.27030069998,157.15282173105516,3
1998000,[13055.688],0.006520537,0.0068048993,0,0,0.17108884,0.33616337,2.3121774,17.94789,-0.32696936,0.33995917,2.310738,18.003578,-0.33256662,0.3254817,2.2815654,17.989275,-0.33303878,0.05496521,0.028507136,0.15465124,0.0067780456,0.33334523,0.23882084,1.4302443,0.0012982581,0.4812766,0.3746943,2.5873523,0.001866675,34.54586410522461,0,0,24000,40,600.0,0.0,600,600,0.005208333333333333,0.07198059875565237,1.0,0.0,3.125,8.267972847076846,25.0,0.0,0.004254029,0.19556062,0.65376353,-0.6835706,8,3.125,6.811167610925622,0.009176883031614125,0.037594618974253535,26.407421363983303,33.26536047691479,190.42046793398913,4
1998000,[13116.977],0.010791386,0.0064499485,0,0,0.9301434,0.6268338,3.3733408,20.804575,-0.3578263,0.63230515,3.3945816,20.905195,-0.37656283,0.66996974,3.4497569,21.134289,-0.3559053,0.05526319,0.030628879,0.16787589,0.006112187,0.29059216,0.22035092,1.4288185,0.00031783772,0.44926882,0.38184518,2.255511,0.00047656396,177.00347900390625,0,0,28800,48,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010953928,0.23343205,0.61868834,-0.734712,8,0.0,6.889692128985189,0.008220351999625564,0.03313661308493465,26.95539992302656,33.88644901709631,224.31025460001547,5
1998000,[12978.505],0.008046764,0.00506845,0,0,-0.2984173,0.4326992,3.1101253,26.316101,-0.4126773,0.41760066,3.0802164,26.171347,-0.4284266,0.42044732,3.058089,25.963808,-0.41100574,0.048504695,0.027405677,0.13631462,0.0035444747,0.24811676,0.19925001,1.1213566,0.00012458467,0.39902994,0.3139885,1.6860133,0.00013905458,199.51499938964844,0,0,33600,56,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023437886,0.26937297,0.7488179,-0.91391027,8,0.0,6.852035672985949,0.009150875033810735,0.03678816801402718,27.285553946974687,34.183528663008474,258.49581972905435,6
1998000,[13057.753],0.0036112524,0.0056142053,0,0,-0.08722807,0.71169657,3.9901953,25.11959,-0.32807806,0.7073506,3.9921784,25.123898,-0.3191216,0.7051518,3.98939,25.09774,-0.32945225,0.04947733,0.027592199,0.14704661,0.0036602959,0.26675925,0.21675739,1.4530511,0.0004981899,0.4003631,0.3221384,2.3931258,0.0011572511,166.85067749023438,0,0,38400,64,600.0,0.0,600,600,0.005,0.07053367989832941,1.0,0.0,3.0,7.937253933193772,24.0,0.0,0.0046684807,0.30380479,0.78933024,-0.9116318,8,3.0,6.9577749309828505,0.00913720193784684,0.04298399202525616,26.689743902999908,33.69964002794586,292.1977490191348,7
1998000,[12877.016],0.014041886,0.009581073,0,0,0.2680768,0.763441,4.5666046,34.556087,-0.4392101,0.7606001,4.5783134,34.655277,-0.44290158,0.78350693,4.6318517,35.05824,-0.42009103,0.051917918,0.030198032,0.20769161,0.0036602959,0.26105458,0.20843872,1.2013452,0.00087812316,0.4191996,0.34480858,2.6588213,0.0009839959,139.8094482421875,0,0,43200,72,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0408425,0.31152907,0.7416935,-0.75684,8,0.0,6.745168132008985,0.009146181982941926,0.03936710092239082,26.635800297022797,33.429481711937115,325.6295219431631,8
1998000,[12792.479],0.009421144,0.009563375,0,0,0.2331264,1.1007435,5.4254937,33.619915,-0.61468315,1.0997334,5.433353,33.618603,-0.63619125,1.1171513,5.4788933,33.878895,-0.6226933,0.051030252,0.030337064,0.15640876,0.0022742746,0.2600842,0.21879,1.6735942,2.9090957e-05,0.4110852,0.34260383,2.3668742,0.0004980903,226.40147399902344,0,0,48000,80,600.0,0.0,600,600,0.004583333333333333,0.06754499529120488,1.0,0.0,2.75,7.275816105427624,22.0,0.0,-0.036089644,0.3397002,0.8093616,-0.90669566,8,2.75,6.800458525074646,0.008844599011354148,0.03679643804207444,26.841314187040552,33.68741374916863,359.31920632417314,9
