replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/MMD Loss Mean,trainer/MMD Loss Std,trainer/MMD Loss Max,trainer/MMD Loss Min,trainer/Action Divergence Mean,trainer/Action Divergence Std,trainer/Action Divergence Max,trainer/Action Divergence Min,trainer/Raw Action Divergence Mean,trainer/Raw Action Divergence Std,trainer/Raw Action Divergence Max,trainer/Raw Action Divergence Min,trainer/Alpha,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
1998000,0.019366814,0.01918355,0,0,0.060690977,0.00035988324,0.0009384858,0.0023560887,-0.0019876473,0.008239607,0.0009327882,0.011022709,0.006337882,0.017034713,0.13833077,0.997647,-0.0038821467,0.11069097,0.053234298,0.25613537,0.009595619,0.99956906,0.7772032,4.26044,0.00075925916,2.2264476,2.281153,17.853262,0.00085514213,1.0010005235671997,0,0,4800,8,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76211655,0.3611326,0.99757886,-0.999952,8,0.0,9.05392732389737,0.010859559057280421,0.05744609504472464,32.58097504894249,41.703208026941866,61.07653557800222,0
1998000,0.001585987,0.001183115,0,0,0.0020131567,0.024066264,0.6181343,3.234687,-0.25895715,0.036704626,0.62057626,3.2383013,-0.2361427,0.02392378,0.61772895,3.2408404,-0.28570518,0.05196584,0.0248456,0.13143766,0.0030956534,0.30679637,0.18836309,0.97062755,0.00065738603,0.44687185,0.31254232,1.6275036,0.00067681016,1.0241400003433228,0,0,9600,16,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016759606,0.14424184,0.48234177,-0.5428635,8,0.0,8.512817936949432,0.014207708998583257,0.04322673997376114,32.20892535604071,40.779177741962485,101.858397132135,1
1998000,0.0052741747,0.006902991,0,0,0.0057635605,0.082258284,1.006681,7.4367814,-0.34107912,0.05289167,1.0002787,7.383565,-0.36640924,0.074449286,0.98634374,7.415462,-0.3282407,0.053977545,0.026776375,0.13223383,0.006499724,0.31621653,0.2065208,1.1725748,0.00044283117,0.4764533,0.36035213,2.1005838,0.0004730372,1.4507999420166016,0,0,14400,24,600.0,0.0,600,600,0.004791666666666666,0.06905582232673957,1.0,0.0,2.875,7.606535019310698,23.0,0.0,-0.015316809,0.14484067,0.5413919,-0.59661907,8,2.875,8.4491683030501,0.012168941902928054,0.0515292480122298,33.14967054803856,41.662537041003816,143.52456469694152,2
1998000,0.0037018259,0.008493304,0,0,0.039393373,0.118568376,1.4022595,11.795622,-0.39702177,0.17621872,1.4335942,11.893164,-0.33462843,0.14063524,1.4015564,11.969264,-0.38420105,0.056774467,0.031125605,0.18935569,0.0045725214,0.3170143,0.22689155,1.4093707,0.00028179085,0.4663357,0.38641024,2.4253592,0.00041899283,5.824095726013184,0,0,19200,32,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003540638,0.13931835,0.49312526,-0.5940726,8,0.0,8.57070299598854,0.015942687983624637,0.04126601095777005,31.70554842799902,40.333460122928955,183.8607046061661,3
1998000,0.0055424636,0.0065817963,0,0,0.36031938,0.35172448,2.4342747,15.479384,-0.4655726,0.3558878,2.422986,15.565618,-0.47189793,0.35342693,2.4338124,15.3203125,-0.47533482,0.058115575,0.03316769,0.15312052,0.0050436,0.31228077,0.22152288,1.5101272,0.0013158119,0.47983998,0.38654193,2.2365549,0.0014546048,44.49886703491211,0,0,24000,40,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03017079,0.21747828,0.6016798,-0.676086,8,0.0,7.274349184008315,0.008926545968279243,0.06336958997417241,29.181365228956565,36.52801054890733,220.3927783378167,4
1998000,0.011516671,0.019466309,0,0,0.0526573,0.42763698,2.9319277,19.658989,-0.4605587,0.4640965,2.9555638,20.011736,-0.42936575,0.42765695,2.8834727,19.395573,-0.47394696,0.050283916,0.030140266,0.15544316,0.006518039,0.2687198,0.19019839,0.97485816,0.0006097334,0.40711978,0.32540384,2.0373242,0.0006358236,185.6200714111328,0,0,28800,48,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077582756,0.2651323,0.6285472,-0.8537919,8,0.0,8.494670227984898,0.009073287015780807,0.03496695903595537,30.19746094197035,38.73617141600698,259.13133682112675,5
1998000,0.0020904113,0.0009178387,0,0,0.92611367,0.23944664,2.6841419,24.156523,-0.6401656,0.25570437,2.6708412,24.230305,-0.60804653,0.26063296,2.662487,24.295547,-0.6076971,0.053618923,0.030551204,0.18012726,0.005183475,0.27172765,0.19574128,1.2284,0.0016247567,0.44925976,0.3604294,2.7820942,0.0023080716,256.0139465332031,0,0,33600,56,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09507576,0.3493884,0.6706337,-0.86260617,8,0.0,8.517301574000157,0.008275056956335902,0.03222566994372755,29.35567592200823,37.91347822290845,297.0472012278624,6
1998000,0.0038535362,0.0021655855,0,0,-1.0803108,0.79849356,4.422571,29.557564,-0.52044076,0.8132107,4.4176974,29.690159,-0.48721293,0.82406485,4.4368405,30.117813,-0.4899228,0.045991834,0.02577464,0.16835843,0.0033544,0.23850453,0.18864818,1.142543,0.00015201153,0.36899653,0.29604137,2.0545053,0.0010608558,269.3638916015625,0,0,38400,64,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004432601,0.3033915,0.8043126,-0.9053125,8,0.0,8.920600572018884,0.009721209993585944,0.04027082701213658,29.729423840064555,38.70001644908916,830.2611811797833,7
1998000,0.009312272,0.01009215,0,0,0.1462279,0.6952727,4.0191307,31.662981,-0.7339952,0.68870926,4.0188713,31.555838,-0.7884903,0.70871806,4.0810223,31.894674,-0.784143,0.050377354,0.03015116,0.21552415,0.0038969098,0.2544655,0.19661747,0.9765572,0.00027415788,0.41478208,0.3502494,2.8535779,0.00038957305,387.8841247558594,0,0,43200,72,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009155142,0.31950623,0.87749094,-0.9448227,8,0.0,8.056968422955833,0.010344624053686857,0.035624133073724806,29.1098329880042,37.212770168087445,867.476366724819,8
1998000,0.02061629,0.020464037,0,0,1.5904717,0.8548305,4.8990726,35.36882,-0.84409976,0.86755365,4.887616,35.32672,-0.85706943,0.90969366,4.9768896,35.708996,-0.8536356,0.05174391,0.026774278,0.1799412,0.0036275815,0.25423956,0.19810656,1.2701079,6.893147e-05,0.40201187,0.30934265,2.2018044,7.883124e-05,912.4536743164062,0,0,48000,80,600.0,0.0,600,600,0.004791666666666666,0.06905582232673957,1.0,0.0,2.875,7.606535019310698,23.0,0.0,0.004484876,0.31712702,0.83439535,-0.9267752,8,2.875,7.91998433705885,0.009643445024266839,0.0327380959643051,29.028535399003886,36.99090127705131,904.4703541387571,9
1998000,0.013950571,0.014856253,0,0,1.5939116,0.74011403,4.220016,30.707361,-1.2082212,0.73532754,4.1986938,30.407352,-1.2664827,0.7436565,4.233481,29.849987,-1.2198732,0.050629612,0.028123507,0.17121914,0.007488304,0.24348682,0.2031755,1.1695569,0.00010528135,0.38837886,0.32053038,2.2538376,0.00015875572,2533.1630859375,0,0,52800,88,600.0,0.0,600,600,0.005208333333333333,0.07198059875565237,1.0,0.0,3.125,8.267972847076846,25.0,0.0,-0.0074550104,0.3462974,0.8212614,-0.94050676,8,3.125,8.4408779500518,0.010464482940733433,0.03453778300900012,29.6697549240198,38.15563514002133,942.6284336077515,10
1998000,0.009467488,0.012419855,0,0,2.6457515,0.31651336,2.6548522,26.204113,-1.3468641,0.31671816,2.6736505,26.278519,-1.3851802,0.28580132,2.5960379,25.39454,-1.4097297,0.05028379,0.02833683,0.15576531,0.0050436,0.24732253,0.19397251,1.5971565,0.00024329242,0.4215502,0.325059,2.2535696,0.00026898482,9336.220703125,0,0,57600,96,600.0,0.0,600,600,0.004791666666666666,0.06905582232673957,1.0,0.0,2.875,7.606535019310698,23.0,0.0,-0.011061287,0.3222843,0.89582807,-0.9347894,8,2.875,8.498119344003499,0.008214255096390843,0.033203814062289894,29.257660579984076,37.797197993146256,980.4280616587494,11
1998000,0.009377198,0.013620345,0,0,3.6281805,0.6033363,3.3725402,22.310303,-1.551958,0.59105694,3.340204,22.049253,-1.6601762,0.6309672,3.416993,22.85258,-1.5830232,0.050175987,0.025455287,0.14099893,0.0040469742,0.23726203,0.18906477,1.1426394,5.6288554e-05,0.38130426,0.29338762,1.9912709,0.0003213971,20631.57421875,0,0,62400,104,600.0,0.0,600,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03560128,0.36121398,0.9623939,-0.9427798,8,0.0,8.383677536039613,0.008882913971319795,0.06759448500815779,29.018934744992293,37.479089680011384,1017.9093840759015,12
1998000,0.0234728,0.02415217,0,0,9.513846,0.97100914,4.8320804,33.44229,-1.2905552,0.9719329,4.819965,33.584724,-1.3871506,0.950017,4.752787,32.222977,-1.312681,0.05043193,0.032817464,0.25088236,0.0025462967,0.23943126,0.23464172,1.8729992,0.00017504385,0.4113605,0.37633914,3.4358208,0.0010197855,22026.466796875,0,0,67200,112,600.0,0.0,600,600,0.004791666666666666,0.06905582232673957,1.0,0.0,2.875,7.606535019310698,23.0,0.0,-0.012677259,0.358259,0.8736042,-0.9650911,8,2.875,8.911688694031909,0.009197442093864083,0.03546197700779885,29.159851722070016,38.11619983520359,1056.0279962639324,13
